dataset,commit,verdict,detail,rows_before,rows_after,rows_changed,columns_lost,columns_added,skipped
science-of-finetuning/diffing-stats-gemma-2-2b-L13-k100-lr1e-04-local-shuffling-CCLoss,e1c4c211812401324a3e66826b3faaf04a52caeb,unreadable,no readable tabular file at either revision,,,,,,feature_df.csv:lfs-pointer
science-of-finetuning/diffing-stats-gemma-2-2b-L13-k100-lr1e-04-local-shuffling-Decoupled,0998f271bf33f5eacfeb8612457745305f40c93c,unreadable,no readable tabular file at either revision,,,,,,feature_df.csv:lfs-pointer
kaistdata/RDB2G-Bench,ba616c008aeb42ab0dc22aba36333d65c454a827,preserves,"same rows, same columns",286835,286835,0,,,
karlleswing/toxbench,eb62bc3de5664192b06c88f5415d6160c8033870,preserves,"same rows, same columns",8770,8770,0,,,
science-of-finetuning/diffing-stats-SAE-difference_cb-gemma-2-2b-L13-k100-lr1e-04-local-shuffling,c17ae34138ce8ea92212e6e96d46985ec107ddf9,values-rewritten,"row count holds at 73728, but 48710 row(s) changed value in a shared column",73728,73728,48710,,max_act_val; freq_val,
science-of-finetuning/diffing-stats-SAE-difference_cb-gemma-2-2b-L13-k100-x2-lr1e-04-local-shuffling,0417764aa327591f52f46de204e6b39a59572040,values-rewritten,"row count holds at 4608, but 3108 row(s) changed value in a shared column",4608,4608,3108,,max_act_val; freq_val,
science-of-finetuning/diffing-stats-SAE-base-gemma-2-2b-L13-k100-x32-lr1e-04-local-shuffling,f28a367033628f68ef29524caf20a624357c08c7,unreadable,no readable tabular file at either revision,,,,,,feature_df_from_base.csv:lfs-pointer
sumitraadrian/dataset-sentimen-tambah,4af8dfbfcee7c0e6780301af55100e7773e62e25,adds-columns,no row lost; derivability of the added columns needs a human,0,200,0,,date; favorite_count; lang; location; quote_count; reply_count; retweet_count; username; location_cleaned; text; sentiment; confidence,
sumitraadrian/dataset-sentimen-tambah,1f89cc3e2963eb9f2ba16b8e47c8569d7d689cd7,adds-columns,no row lost; derivability of the added columns needs a human,0,1599,0,,date; favorite_count; lang; location; quote_count; reply_count; retweet_count; username; location_cleaned; text; sentiment; confidence,
sumitraadrian/dataset-sentimen-tambah,9bd7e2694a8f5e59e5f79b98abd65cc115523ca9,adds-columns,no row lost; derivability of the added columns needs a human,0,358,0,,date; favorite_count; lang; location; quote_count; reply_count; retweet_count; username; location_cleaned; lokasi_normal; text; sentiment; confidence,
f-galkin/batman2,880d96489790dfbf0dde12468e5e11d5a29a36f9,unreadable,no readable tabular file at either revision,,,,,,data/batman_formulas.csv:lfs-pointer; data/batman_herbs.csv:lfs-pointer; data/batman_ingredients.csv:lfs-pointer
CIS5190kr/News_Resource_Classification,5f31317728e36301ef1941565383d6b263545ee5,values-rewritten,"row count holds at 3804, but 726 row(s) changed value in a shared column",3804,3804,726,news_company,Unnamed: 0; label; News Outlet,
Bravansky/compositional-preference-modeling,ca69a2a3d2c2ecd3074f3a3af7505e3c4279571a,no-tabular-change,the commit touched no file this check can read,,,,,,
hanR07/safe_packets,2317c075641267be0b4dd16d9cd93aa3e2336249,unreadable,no readable tabular file at either revision,,,,,,packet_normal_2.csv:lfs-pointer
lab-v2/mdsa,95c7eea55f87d8a854ac22e581456156cbb9ddd6,no-tabular-change,the commit touched no file this check can read,,,,,,
lab-v2/mdsa,708e5ed32213012a648a56c116297d9c527e6d42,no-tabular-change,the commit touched no file this check can read,,,,,,
Ci-Dave/FIFA2019,a7af3342466c4c418e5946f7dbb4815ce6268ea7,adds-columns,no row lost; derivability of the added columns needs a human,0,18207,0,,Age; Overall; Potential; Value; Wage; International Reputation; Weak Foot; Skill Moves; Passing; Dribbling; Defending; Physical,
atlas-da-saude-mental/mapa-da-discriminacao-racial-no-brasil,3a689c7711a3fdfe451eee65014da2ae10058ca0,adds-columns,no row lost; derivability of the added columns needs a human,0,5565,0,,cod_mun; coef; mulher_negra; homem_negro; mulher_branca; superior; medio; fundamental; v; idade_,
thia-co/Core-Model-SFT-Adv-Reasoning,68f1bb79bdba92aececff19f7e6c488b50f625ce,no-tabular-change,the commit touched no file this check can read,,,,,,
jr303/lexical-fields-with-tokens,6f5c41c70f43871f46084a82eb112054bb1bfdc4,unreadable,no readable tabular file at either revision,,,,,,dataset_lexical_field_normalized_with_tokens-1.csv:lfs-pointer
jr303/lexical-dataset-50-lexical-fields,b8fa1749c4ef5d89273edbbc7c807478889d8e80,unreadable,no readable tabular file at either revision,,,,,,dataset_lexical_field_normalized-5.csv:lfs-pointer
electricsheepafrica/Age-Standardized-Prevalence-Of-Obesity-Among-Adults-for-African-Countries,8a3743a74510b26e3afdb213274bcc29ce5a2dcb,adds-columns,no row lost; derivability of the added columns needs a human,0,33,0,,Year; Algeria; Angola; Benin; Botswana; Burkina Faso; Burundi; Cabo Verde; Cameroon; Central African Republic; Chad; Comoros; Congo; Côte d'Ivoire; Democratic Republic of the Congo; Djibouti; Egypt; Equatorial Guinea; Eritrea; Eswatini; Ethiopia; Gabon; Gambia; Ghana; Guinea; Guinea-Bissau; Kenya; Lesotho; Liberia; Libya; Madagascar; Malawi; Mali; Mauritania; Mauritius; Morocco; Mozambique; Namibia; Niger; Nigeria; Rwanda; Sao Tome and Principe; Senegal; Seychelles; Sierra Leone; Somalia; South Africa; South Sudan; Sudan; Togo; Tunisia; Uganda; United Republic of Tanzania; Zambia; Zimbabwe,
electricsheepafrica/Agestandardized-Prevalence-Of-Hypertension-Among-for-African-Countries,bcc32d1800bebb58850fa54ccbc798f907f13023,no-tabular-change,the commit touched no file this check can read,,,,,,
electricsheepafrica/Agestandardized-Prevalence-Of-Tobacco-Use-Among-for-African-Countries,725e2f1bcfc647d35454f25d048b18e2c99bba29,no-tabular-change,the commit touched no file this check can read,,,,,,
raniaaara/rose_evaluation_result_detailed,0f605de5d3a1715cd493936b77bd81376a789225,adds-columns,no row lost; derivability of the added columns needs a human,500,500,0,,gsum_acu; gsum_normalized_acu; matchsum_acu; matchsum_normalized_acu; brio_acu; brio_normalized_acu; simcls_acu; simcls_normalized_acu,
NLPLabNTUST/Merged-CWA,fbf8288810d7cb6501e9b381f4d4ef70904673c5,no-tabular-change,the commit touched no file this check can read,,,,,,
NLPLabNTUST/Merged-CWA,49b2714222f5d074195be9062de34c92fed97423,no-tabular-change,the commit touched no file this check can read,,,,,,
NLPLabNTUST/Merged-CWA,798a93cc6e4d1e22919605c5dbc51022ca3232f0,no-tabular-change,the commit touched no file this check can read,,,,,,
NLPLabNTUST/Merged-CWA,50f2bfbbae30ca38890350c3817f78ee030f4947,no-tabular-change,the commit touched no file this check can read,,,,,,
visualcomments/human-agent-conversations,2a82b9753f3e5d2465581eccfd8de1eda94b7dd2,unreadable,no readable tabular file at either revision,,,,,,merged_dataframe.csv:lfs-pointer
plawlost/real-estate-data-merged,1ccf6b72721fd77624e75c8d57cd09e1eaf82006,unreadable,no readable tabular file at either revision,,,,,,merged_housing_data_cleaned.csv:no-delimiter
BurpBurp1402/NYP_SLLM_P3_Dataset,331483433b6b07d63434b419b9dbdf80f994640d,no-tabular-change,the commit touched no file this check can read,,,,,,
ACELIU0852/AutoencoderRidgeDataSet,4a518326d09fbab44b1dfedbc034067c15429878,unreadable,no readable tabular file at either revision,,,,,,merged_factors_processed_filled1.csv:lfs-pointer
khanhlehoang/toxic_coment,d73a71de0e94e38c2b99f5798ea973f94a35d592,unreadable,no readable tabular file at either revision,,,,,,merged_comments_new.csv:lfs-pointer
dmariko/clinical-trials-xml-2018-2024,bdd4aa9bffc3fcfcf998ca59da7af9eebc14b195,unreadable,no readable tabular file at either revision,,,,,,merged-xml-simple-text-extractions.csv:lfs-pointer
Diarmuid27/pokemon-battle-outcomes,a93d26bbae0f61d7803dbf1b428065c3a30bc6c5,adds-columns,no row lost; derivability of the added columns needs a human,0,50000,0,,First_pokemon; Second_pokemon; Winner; Name_First; Type 1_First; Type 2_First; HP_First; Attack_First; Defense_First; Sp. Atk_First; Sp. Def_First; Speed_First; Generation_First; Legendary_First; Name_Second; Type 1_Second; Type 2_Second; HP_Second; Attack_Second; Defense_Second; Sp. Atk_Second; Sp. Def_Second; Speed_Second; Generation_Second; Legendary_Second,
caiyan123/open-close-drawer-csv,edec719745064052348ce44fa61ce2d11d311966,unreadable,no readable tabular file at either revision,,,,,,merged_open_close_drawer.csv:lfs-pointer
smksaha/apt-eval,d3a95edb4542bbb6caf35aef96e1101fbf09764c,unreadable,no readable tabular file at either revision,,,,,,merged_apt_eval_dataset.csv:lfs-pointer
sangita1998/VECTOR_DATABASE,1b516e288ee8830144f92ff93497b28f31dfea8a,adds-columns,no row lost; derivability of the added columns needs a human,0,185,0,,Display Name; Reference ID; Start Date; End Date; Days; Latitude; Longitude; Media Owner; Country; State; District; Category; Group; Venue Type; Display On Time; Display Off Time; Loop Duration (Secs); Spot Duration (sec); No of Screen; Spots / Hour; Potential Views; Reach; Frequency; Source File; Location; Format; Resolution (W x H) px; Creative; Exclusions; No.of Screens; Spots/Hour; Screen On & Off time; Total Spots/Day; Language Support; Asset Image; Average Frequency; Reach (%),
BestiVictoryLab/VADB,8bd608a6874d64cc7822be809c370d5fe897e3b4,no-tabular-change,the commit touched no file this check can read,,,,,,
yousry10/goHunt_JBG,024f0831168d27c3d1dee265fdee362dbe2362ff,no-tabular-change,the commit touched no file this check can read,,,,,,
yousry10/goHunt_JBG,66b5a15372d9adc321cceec78a22ab8dd7956bd3,no-tabular-change,the commit touched no file this check can read,,,,,,
yousry10/goHunt_JBG,b1227be08fe0ff3b1b2d805a9c38de98b83f6b3b,unreadable,no readable tabular file at either revision,,,,,,mergedSafeUnsafe.csv:no-delimiter
ycfNTU/tombench_merged,5bca73cc789aa9541a8ac14f34435dde293758dd,unreadable,no readable tabular file at either revision,,,,,,merged_dataset.csv:no-delimiter
caiyan123/merged_other_task,da4182a6e0341ae7d59e4d271a27adfa848c7936,unreadable,no readable tabular file at either revision,,,,,,merged_other_task.csv:lfs-pointer
JailbreakBench/JBB-Behaviors,0736bf82289c5fdd5128e92312eacdbeec7b9ccb,columns-lost,"every row survives, but 1 column(s) do not",100,100,0,Unnamed: 0,,
oskarvanderwal/SHADR,c8416e08c885a9be742d1b441165ec64e95bc99e,columns-lost,"every row survives, but 1 column(s) do not",716,716,0,,,
copenlu/llm-pct-tropes,2d0af7b1f67c9d04bcd9dd8126ff1614dc93654c,no-tabular-change,the commit touched no file this check can read,,,,,,
PatrickAi13/batch2_uncleaned_finetune,4f19a81050602f71f1ff8cd1571415651ea24ea9,unreadable,no readable tabular file at either revision,,,,,,batch2_cleared_columns.csv:no-delimiter
donb-hf/secondary-screen-dose-response-curve-parameters,c4a359ffbfa36a824c52854c9f5736d810cdbaa5,no-tabular-change,the commit touched no file this check can read,,,,,,
litagin/Galgame_Dataset_stats,a8ca3a79319eb63fb050a5d7b6ebad7da159795b,values-rewritten,"row count holds at 292, but 166 row(s) changed value in a shared column",292,292,166,,spec1; spec2; spec3; spec4; spec5,
agentlans/twitter-sentiment-meta-analysis,947ab3f1d30d2524864e7060b11f6307ec300ade,unreadable,no readable tabular file at either revision,,,,,,train.csv.gz:lfs-pointer
tapsilat/PublicTaxDebtorsListOfTurkiye,65fdf70d27fe0c872de20435cd7deacdd9f65801,no-shared-columns,column names share nothing; compare by hand,39264,0,0,siraNo; VDADI; VergiNo; Unvan; Borc; TCKN; VKN,,list.csv:no-delimiter
z4fL/mpl_s14_dataset,203eaf04cb3edb7c515c08d189cbc22054f52752,columns-lost,"every row survives, but 1 column(s) do not",171,171,0,match_length,game_length,
science-of-finetuning/diffing-stats-gemma-2-2b-crosscoder-l13-mu4.1e-02-lr1e-04,4881c8339db4d0c916fd0b9390a649382ffcd371,unreadable,no readable tabular file at either revision,,,,,,feature_df.csv:lfs-pointer
zelk12/text_in_number_smoltalk,fc7dfed661cf22c6d521f78360d7c235a4f600f2,unreadable,no readable tabular file at either revision,,,,,,test_smoltalk_in_number.csv:no-delimiter
science-of-finetuning/max-activating-examples-gemma-2-2b-l13-ckissane,3850173c54ad1b974f7f93d37447e15fbc14272e,values-rewritten,"row count holds at 16384, but 280 row(s) changed value in a shared column",16384,16384,280,,twin_latent,
DrewLab/hu.MAP_3.0,a4b26cc5c994565626d55f4c81b0641184930626,unreadable,no readable tabular file at either revision,,,,,,test/humap3_test_feature_matrix_20220625.csv.gz:lfs-pointer
Mostafa3zazi/wonders_testing_dataset,289a3a909f86cd3f04dccfcdae4c452b96e89940,columns-lost,"every row survives, but 1 column(s) do not",10008,10008,0,Unnamed: 0,,
linxy/CryptoCoin,94d3d1c9889017630a6e732e27194988da41526b,unreachable,commit not in repository,,,,,,
MoMonir/Shamela_Books_info,2af0ebf873069108efae804a624c3a95cc08fe14,columns-lost,"every row survives, but 2 column(s) do not",8492,8492,0,SN; book_ID,sn; book_id; category_id,
science-of-finetuning/diffing-stats-Meta-Llama-3.1-8B-L16-mu2.0e-02-lr1e-04-local-shuffling-CCLoss,918ee4100628fd3a80813023dd9eedc81bd12b8b,unreadable,no readable tabular file at either revision,,,,,,feature_df.csv:lfs-pointer
science-of-finetuning/diffing-stats-SAE-chat-gemma-2-2b-L13-k100-lr1e-04-local-shuffling,e91ba0bd6245e40df885cd68491100b05eb37546,unreadable,no readable tabular file at either revision,,,,,,feature_df.csv:lfs-pointer
science-of-finetuning/diffing-stats-Llama-3.2-1B-L8-k150-lr1e-04-local-shuffling-Crosscoder,78542ed25b97c5438c56891909ddd99a0b2f0924,unreadable,no readable tabular file at either revision,,,,,,feature_df.csv:lfs-pointer
science-of-finetuning/diffing-stats-Llama-3.2-1B-L8-mu3.6e-02-lr1e-04-local-shuffling-CrosscoderLoss,5b985b6dc321151c91b073160c37f18cfae8bd60,unreadable,no readable tabular file at either revision,,,,,,feature_df.csv:lfs-pointer
kaistdata/RDB2G-Bench,7e5d6697897a1a48cf8554766fee7ef0dc80fddb,adds-columns,no row lost; derivability of the added columns needs a human,286835,286835,0,,dataset; task; seed,
science-of-finetuning/diffing-stats-Meta-Llama-3.1-8B-L16-mu2.1e-02-lr1e-04-local-shuffling-CrosscoderLoss,2e736e06cd3352d3a085a82c27a819d0dcddff7c,unreadable,no readable tabular file at either revision,,,,,,feature_df.csv:lfs-pointer
science-of-finetuning/diffing-stats-SAE-difference-gemma-2-2b-L13-k100-lr1e-04-local-shuffling,1d0c235b154b446d446d25a294fcdafc04ecf638,unreadable,no readable tabular file at either revision,,,,,,feature_df.csv:lfs-pointer
nbettencourt/mlb-starters,2bf0871d1604baee41d0e95130bf7391ec65981e,unreadable,no readable tabular file at either revision,,,,,,combined_starters_all_columns_2023_2024.csv:lfs-pointer
science-of-finetuning/diffing-stats-SAE-difference_cb-Llama-3.2-1B-L8-k100-x32-lr1e-04-local-shuffling,d7ab72cb027604282e5cb7db43f53a2b3be84d60,adds-columns,no row lost; derivability of the added columns needs a human,65536,65536,0,,beta_activation_base; beta_activation_chat; beta_activation_ratio,
science-of-finetuning/diffing-stats-SAE-difference_cb-gemma-2-2b-L13-k100-x2-lr1e-04-local-shuffling,dcf3b0ca72c0e747f1ad96b3a831dc08d06bc3fc,adds-columns,no row lost; derivability of the added columns needs a human,4608,4608,0,,beta_activation_base; beta_activation_chat; beta_activation_ratio,
science-of-finetuning/diffing-stats-SAE-chat-Llama-3.2-1B-L8-k100-x32-lr1e-04-local-shuffling,c8f745de6628e679f50413b62910d2be8b84e655,adds-columns,no row lost; derivability of the added columns needs a human,65536,65536,0,,beta_activation_base; beta_activation_chat; beta_activation_ratio,
science-of-finetuning/diffing-stats-SAE-base-Llama-3.2-1B-L8-k100-x32-lr1e-04-local-shuffling,ad3c59aa705775b9408bcead9aca7d3c949ae975,adds-columns,no row lost; derivability of the added columns needs a human,65536,65536,0,,beta_activation_base; beta_activation_chat; beta_activation_ratio,
ContributorsSIGNAL/SIGNAL,4c28456caa02bf5d3c29ebc3981bdf9c76b43974,adds-columns,no row lost; derivability of the added columns needs a human,0,600,0,,sentence_id; sentence; congruent; structure; length; target; position; most_popular; percent; semantics_grammar; semantics; grammar; no; unknown; subject; verb; object; gen; adj; subject_lemma; subject_length; subject_gender; subject_ipm; verb_lemma; verb_length; verb_ipm; object_lemma; object_length; object_gender; object_ipm; gen_lemma; gen_length; gen_gender; gen_ipm; adj_lemma; adj_length; adj_gender; adj_ipm,
science-of-finetuning/diffing-stats-gemma-2-2b-it-Meditron3-L16-k100-lr1e-04-local-shuffling-CCLoss,fad91388c65a583805cf0ffa0470bea580f3069d,unreadable,no readable tabular file at either revision,,,,,,feature_df.csv:lfs-pointer
science-of-finetuning/diffing-stats-R1dist-Qwen-1.5B-Nemotron-L16-mu3.6e-02-lr1e-04-local-shuffling-CCLoss,69eeb55fcf1775a890d773c3a39ddfdbea7e14b1,unreadable,no readable tabular file at either revision,,,,,,feature_df.csv:lfs-pointer
profoz/people,0d8769d599e21afe6b3ac13cb95bba0e406fbaef,unreadable,no readable tabular file at either revision,,,,,,cleaned_people.csv:lfs-pointer
mattrichmo/Netflix-Imdb-Engagement-Match-TV,e5b6fbbbc56f70f07946cdf547532052309193e4,adds-columns,no row lost; derivability of the added columns needs a human,0,3283,0,,parentUUID; rawTitle; cleanTitle; totalHoursWatched; imdbMatchedTitle; imdbMatchConfidence; imdbLink; imdbGenres; imdbType; imdbUserRating; imdbNumRatings; directorCount; writerCount; castCount; producerCount; composerCount; cinematographerCount; editorCount; castingDirectorCount; artDirectorCount; setDecoratorCount; costumeDesignerCount; makeUpDepartmentCount; productionManagerCount; assistantDirectorCount; artDepartmentCount; soundDepartmentCount; stuntsCount; cameraDepartmentCount; costumeDepartmentCount; editorialDepartmentCount; musicDepartmentCount; scriptDepartmentCount; miscellaneousCrewCount,
kjappelbaum/chemnlp-ld50catmos,09c6e88cd286a264a6af4874722402696dd022b3,adds-columns,no row lost; derivability of the added columns needs a human,0,9032,0,,Canonical_QSARr; CATMoS_LD50_mgkg; num_ghose_violations; num_lead_likeness_violations; num_lipinski_violations; molecular_mass; num_carbon_atoms; num_oxygen_atoms; SMILES; log10_LD50; Name,
rukja/data,484ff06bcfe537334efd9a75877ec0c448cb81be,unreadable,no readable tabular file at either revision,,,,,,cleaned_opinions_df.csv:lfs-pointer
cladsu/COSER-2024,b70d02cafe8fe2bbe820c41230013f1c82ced093,unreadable,no readable tabular file at either revision,,,,,,CLEAN_df_hack_full.csv:lfs-pointer
ag2435/stackexchange,a82e3ba9344269a694e116bb6f1f86dc41f46d1e,unreadable,no readable tabular file at either revision,,,,,,stackoverflow/train_clean.csv:lfs-pointer
shubhamofbce/clean_test,6b3e6deb41e644847dc70b718fc15bb6e4f4c481,unreadable,no readable tabular file at either revision,,,,,,clean_test1.csv:no-delimiter
hscrown/seoul_museums,f3b6d359e1558d392a6a3631c35cf57311f0e42c,adds-columns,no row lost; derivability of the added columns needs a human,0,175,0,,½Ã¼³¸í; ¹Ú¹°°ü¹Ì¼ú°ü±¸ºÐ; ÁÖ¼Ò; ¿î¿µ±â°üÀüÈ­¹øÈ£; À§µµ; °æµµ,
KuzonFyre/world_factbook,293e116269059da0c7101155fbb99d936189470e,adds-columns,no row lost; derivability of the added columns needs a human,0,258,0,,"Country; ISO Code; url; GDP; Population; Population growth rate; Exports; Current account balance; Imports; Mean Elevation (m); Coastline (km); Irrigated Land (sq km); Total area; Age structure - 0-14 years Rate; Age structure - 15-64 years Rate; Age structure - 65 years and over Rate; Total dependency ratio; Youth dependency ratio; Elderly dependency ratio; Potential support ratio; Median age; Median age - male; Median age - female; Birth rate/1000 people; Death rate/1000 people; Net migration rate/1000 people; Urban Population ratio; Urban population growth rate; Sex ratio at birth(male/female); Sex ratio 0-14 years(male/female); Sex ratio 15-64 years(male/female); Sex ratio 65 years and over(male/female); Sex ratio - total population(male/female); Mother's mean age at first birth; Maternal mortality ratio (deaths/100,000 live births); Infant mortality rate (per 1000 live births); Infant mortality rate - male; Infant mortality rate - female; Life expectancy at birth (years); Life expectancy at birth - male; Life expectancy at birth - female; Fertility rate (children born/women); Gross reproduction rate; Contraceptive prevalence rate; Improved Drinking Access Urban; Improved Drinking Access Rural; Improved Drinking Access Total; Unimproved Drinking Access Urban; Unimproved Drinking Access Rural; Unimproved Drinking Access Total; Current health expenditure (% of GDP); Physicians density (per 1000 people); Hospital bed density (beds per 1000 people); Improved Sanitation Access Urban; Improved Sanitation Access Rural; Improved Sanitation Access Total; Unimproved Sanitation Access Urban; Unimproved Sanitation Access Rural; Unimproved Sanitation Access Total; Obesity - adult prevalence rate; Alcohol consumption per capita (liters of pure alcohol); Alcohol consumption per capita - beer (liters of pure alcohol); Alcohol consumption per capita - wind (liters of pure alcohol); Alcohol consumption per capita - spirits (liters of pure alcohol); Alcohol consumption per capita - other alcohols (liters of pure alcohol); Tobacco use rate; Tobacco use rate - male; Tobacco use rate - female; Children under 5 years underweight rate; Married women (ages 15-49) rate; Women married by age 15 rate; Women married by age 18 rate; Education expenditures (% of GDP); Literacy rate; Literacy rate - male; Literacy rate - female; School life expectancy; School life expectancy - male; School life expectancy - female; Youth unemployment rate (ages 15-24); Youth unemployment rate (ages 15-24) - male; Youth unemployment rate (ages 15-24) - female; Forest land (% of land area); Agricultural land (% of land area); Other land (% of land area); Revenue from forest resources (% of GDP); Revenue from coal (% of GDP); Particulate matter emissions (micrograms per cubic meter); Carbon dioxide emissions (megatons); Methane emissions (megatons); Annual municipal solid waste (tons); Municipal water withdrawal (cubic meters); Industrial water withdrawal (cubic meters); Agricultural water withdrawal (cubic meters); Renewable water resources (cubic meters); GDP growth rate; GDP per capita growth rate; GDP (official exchange rate); Inflation rate; GDP by sector agriculture composition; GDP by sector industry composition; GDP by sector services composition; GDP by end use household composition; GDP by end use government composition; GDP by end use fixed capital investment composition; GDP by end use inventories investment composition; GDP by end use exports composition; GDP by end use - imports composition; Industrial production growth rate; Labor force; Agriculture labor force; Industry labor force; Services labor force; Unemployment rate; Population below poverty line; Gini Index coefficient; Household income(Lowest 10%) by percentage share; Household income(Highest 10%) by percentage share; Revenues; Expenditures; Budget Balance (% of GDP); Public debt (% of GDP); Taxes and other revenues (% of GDP); Current account balance (% of GDP); Currency and gold reserves; External debt; Exchange rates to USD; Electricity access rate; Electricity access rate - rural; Electricity access rate - urban; Electricity installed capacity (kW); Electricity consumption (kWh); Electricity exports (kWh); Electricity imports (kWh); Electricity transmission losses (kWh); Electricity fossil fuel generation (% of total capacity); Electricity nuclear generation (% of total capacity); Electricity hydro generation (% of total capacity); Electricity wind generation (% of total capacity); Electricity solar generation (% of total capacity); Electricity geothermal generation (% of total capacity); Electricity tide and wave generation; Electricity biomass and waste generation (% of total capacity); Coal production (metric tons); Coal consumption (metric tons); Coal exports (metric tons); Coal imports (metric tons); Coal reserves (metric tons); Petroleum production (bbl/day); Petroleum consumption (bbl/day); Petroleum exports (bbl/day); Petroleum imports (bbl/day); Refined petroleum products production (bbl/day); Refined petroleum products exports (bbl/day); Refined petroleum products imports (bbl/day); Natural gas production (cubic meters); Natural gas consumption (cubic meters); Natural gas exports (cubic meters); Natural gas imports (cubic meters); Natural gas reserves (cubic meters); Energy: Carbon dioxide emissions (metric tonnes); Coal emissions (metric tonnes); Petroleum emissions (metric tonnes); Gas emissions (metric tonnes); Energy consumption per capita (Btu/preson); Telephone fixed line subscriptions (per 100 people); Telephone mobile subscriptions (per 100 people); Internet users/total population; Broadband fixed subscriptions (per 100 people); Registered air carriers; Inventory of registered aircraft; Annual passenger traffic on air carriers; Annual freight traffic on air carriers (mt-km); Airports; Airports with paved runways; Airports with unpaved runways; Heliports; Total Roadways (km); Paved Roadways (km); Unpaved Roadways (km); Military expenditures (% of GDP)",
AdityaA44/RacepopulationAlabama,42dc866ec9291826f20861e0d8cae7194fd9b1d2,adds-columns,no row lost; derivability of the added columns needs a human,0,33,0,,Year; White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; White ,
EspinoFernando/Essays,1878049573951522daf8bc7ee4929e2c4214f6c9,unreadable,no readable tabular file at either revision,,,,,,clean_data.csv:no-delimiter
Oronto/MLB_DAILY,013afe486ffbf023bf939d14d16a361a4d527296,unreadable,no readable tabular file at either revision,,,,,,cleaned_data.csv:lfs-pointer
VerbACxSS/s-ItaIst,dac07ace34d6d2cdb9dd06460b6bbf8bfdd8e28f,no-tabular-change,the commit touched no file this check can read,,,,,,
